index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
1029,face,high,jpeg,72,body camera footage,blue hour twilight,digital zoom pixelation,as if shared on Twitter with reduced resolution,Southeast Asian,,young,woman,rooftop with skyline,face at sharp angle,,"A body camera footage of a young Southeast Asian woman in rooftop with skyline, with blue hour twilight, digital zoom pixelation, face at sharp angle, as if shared on Twitter with reduced resolution"
1030,face,low,jpeg,54,video still frame,dramatic side lighting,inconsistent shadows,as if shared on WhatsApp with compression,East African,olive skin,middle-aged,woman,busy street,face on a screen within the image,,"A video still frame of a middle-aged East African woman with olive skin in busy street, with dramatic side lighting, inconsistent shadows, face on a screen within the image, as if shared on WhatsApp with compression"
1031,face,medium,png,100,panoramic photo,candlelight,overexposed highlights,as if saved from a YouTube video at 480p,West African,,young,man,cafe or restaurant,face on a screen within the image,,"A panoramic photo of a young West African man in cafe or restaurant, with candlelight, overexposed highlights, face on a screen within the image, as if saved from a YouTube video at 480p"
1032,face,medium,webp,40,black and white film photo,backlit with rim lighting,color banding,,Southern European,,young,woman,inside a vehicle,face very small in frame,,"A black and white film photo of a young Southern European woman in inside a vehicle, with backlit with rim lighting, color banding, face very small in frame"
1033,nature,low,jpeg,82,photo with Instagram-style filter applied,dappled shade under trees,color banding,,,,,,,,a tropical beach with palm trees,"A photo with Instagram-style filter applied of a tropical beach with palm trees, with dappled shade under trees, color banding"
1034,face,high,jpeg,53,mirrorless camera photo,screen-lit in a dark room,,as if downloaded from Instagram,Indigenous,light skin,young,person,hospital corridor,,,"A mirrorless camera photo of a young Indigenous person with light skin in hospital corridor, with screen-lit in a dark room, as if downloaded from Instagram"
1035,scene,high,png,100,drone aerial photo,soft natural daylight,inconsistent shadows,,,,,,,,a farmers market on a weekend morning,"A drone aerial photo of a farmers market on a weekend morning, with soft natural daylight, inconsistent shadows"
1036,nature,low,webp,92,video still frame,tungsten indoor lighting with warm cast,overexposed highlights,as if shared on Twitter with reduced resolution,,,,,,,an abandoned building with broken windows,"A video still frame of an abandoned building with broken windows, with tungsten indoor lighting with warm cast, overexposed highlights, as if shared on Twitter with reduced resolution"
1037,scene,medium,webp,36,parking lot surveillance camera footage,flat overcast daylight,slight motion blur,as if saved from a YouTube video at 480p,,,,,,,a busy airport terminal with travelers,"A parking lot surveillance camera footage of a busy airport terminal with travelers, with flat overcast daylight, slight motion blur, as if saved from a YouTube video at 480p"
1038,face,low,webp,77,infrared camera image,mixed indoor-outdoor lighting,lens distortion,as if downloaded from Instagram,Afro-Caribbean,olive skin,young,man,outdoor park,,,"A infrared camera image of a young Afro-Caribbean man with olive skin in outdoor park, with mixed indoor-outdoor lighting, lens distortion, as if downloaded from Instagram"
1039,face,medium,png,100,mirrorless camera photo,candlelight,lens distortion,as if shared on WhatsApp with compression,East Asian,medium skin,young,man,gym or fitness center,,,"A mirrorless camera photo of a young East Asian man with medium skin in gym or fitness center, with candlelight, lens distortion, as if shared on WhatsApp with compression"
1040,scene,low,png,100,drone aerial photo,dappled shade under trees,lens distortion,as if downloaded from Instagram,,,,,,,a church congregation during service,"A drone aerial photo of a church congregation during service, with dappled shade under trees, lens distortion, as if downloaded from Instagram"
1041,face,high,webp,91,scanned printed photograph,soft natural daylight,,,West African,,elderly,person,office environment,,,"A scanned printed photograph of a elderly West African person in office environment, with soft natural daylight"
1042,nature,high,png,100,photo of a screen showing another image,dappled shade under trees,,,,,,,,,a car parked on a suburban street,"A photo of a screen showing another image of a car parked on a suburban street, with dappled shade under trees"
1043,face,high,jpeg,95,professional studio portrait,dappled shade under trees,,,Central Asian,,elderly,woman,construction site,face on a screen within the image,,"A professional studio portrait of a elderly Central Asian woman in construction site, with dappled shade under trees, face on a screen within the image"
1044,scene,medium,jpeg,47,smartphone photo,direct flash,lens distortion,,,,,,,,a hospital waiting room,"A smartphone photo of a hospital waiting room, with direct flash, lens distortion"
1045,nature,low,jpeg,96,smartphone photo,tungsten indoor lighting with warm cast,slight motion blur,,,,,,,,a street sign at an intersection,"A smartphone photo of a street sign at an intersection, with tungsten indoor lighting with warm cast, slight motion blur"
1046,nature,low,jpeg,70,thermal imaging camera capture,blue hour twilight,lens distortion,,,,,,,,a river winding through a valley,"A thermal imaging camera capture of a river winding through a valley, with blue hour twilight, lens distortion"
1047,face,medium,png,100,disposable camera photo,neon lighting,,,North African,,middle-aged,person,bedroom,,,"A disposable camera photo of a middle-aged North African person in bedroom, with neon lighting"
1048,face,low,png,100,HDR photo with tone-mapped highlights,direct flash,overexposed highlights,,East African,,young,man,gym or fitness center,,,"A HDR photo with tone-mapped highlights of a young East African man in gym or fitness center, with direct flash, overexposed highlights"
1049,scene,low,png,100,large format film photo,nighttime artificial lighting,heavy JPEG compression artifacts,,,,,,,,a church congregation during service,"A large format film photo of a church congregation during service, with nighttime artificial lighting, heavy JPEG compression artifacts"
1050,face,high,jpeg,74,selfie,blue hour twilight,slight motion blur,,Afro-Caribbean,medium skin,middle-aged,person,inside a vehicle,,,"A selfie of a middle-aged Afro-Caribbean person with medium skin in inside a vehicle, with blue hour twilight, slight motion blur"
1051,nature,low,jpeg,90,satellite imagery,dappled shade under trees,,as if shared on Twitter with reduced resolution,,,,,,,a whiteboard with handwritten notes,"A satellite imagery of a whiteboard with handwritten notes, with dappled shade under trees, as if shared on Twitter with reduced resolution"
1052,nature,low,webp,78,dashcam footage,blue hour twilight,lens distortion,,,,,,,,a dense forest trail,"A dashcam footage of a dense forest trail, with blue hour twilight, lens distortion"
1053,face,low,webp,31,mirrorless camera photo,direct flash,overexposed highlights,,Eastern European,light skin,middle-aged,woman,government building,face reflected in mirror,,"A mirrorless camera photo of a middle-aged Eastern European woman with light skin in government building, with direct flash, overexposed highlights, face reflected in mirror"
1054,face,high,png,100,dashcam footage,mixed indoor-outdoor lighting,heavy noise or grain,,Afro-Caribbean,,elderly,woman,parking garage,,,"A dashcam footage of a elderly Afro-Caribbean woman in parking garage, with mixed indoor-outdoor lighting, heavy noise or grain"
1055,nature,low,jpeg,58,parking lot surveillance camera footage,neon lighting,,,,,,,,,a whiteboard with handwritten notes,"A parking lot surveillance camera footage of a whiteboard with handwritten notes, with neon lighting"
1056,face,medium,png,100,drone aerial photo,neon lighting,heavy noise or grain,,Eastern European,,young,person,office environment,face at sharp angle,,"A drone aerial photo of a young Eastern European person in office environment, with neon lighting, heavy noise or grain, face at sharp angle"
1057,scene,low,webp,57,product photography on white background,harsh overhead fluorescent lighting,chromatic aberration,as if shared on WhatsApp with compression,,,,,,,a press conference with reporters,"A product photography on white background of a press conference with reporters, with harsh overhead fluorescent lighting, chromatic aberration, as if shared on WhatsApp with compression"
1058,nature,medium,webp,30,early 2000s digital camera photo,golden hour sunlight,inconsistent shadows,,,,,,,,a field of wildflowers in spring,"A early 2000s digital camera photo of a field of wildflowers in spring, with golden hour sunlight, inconsistent shadows"
